,Title,Type,Year,Engine Size,Hand,Date Added,Price
195,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,1,29/10/2019,"49,000₪"
196,יקאסאוואק ER-6F ,שיבכ/טרופס,2013,650,3,29/10/2019,"20,000₪"
197,יקוזוס DRZ400S ,ישומישוד,2016,400,1,29/10/2019,"26,000₪"
198,יקוזוס DL1000 םורטס-יו ,ישומישוד,2016,"1,000",2,29/10/2019,"51,000₪"
199,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,29/10/2019,"62,985₪"
200,הדנוה CRF250R ,סורקוטומ,2015,250,2,28/10/2019,None
201,הדנוה CB500X ,ישומישוד,2017,500,3,28/10/2019,"32,500₪"
202,יקאסאוואק KLE500 ,ישומישוד,2001,500,7,28/10/2019,"9,000₪"
203,יקאסאוואק ה'גנינ 400 ,שיבכ/טרופס,2019,400,1,28/10/2019,"36,000₪"
204,מ.ט.ק EXC 250 ,ישומישוד,2008,250,7,28/10/2019,"17,500₪"
205,יקוזוס C800 רדורטניא ,םוטסק,1996,800,4,28/10/2019,"20,000₪"
206,הנרווקסוה TE250 ,ישומישוד,2017,250,3,28/10/2019,"40,000₪"
207,AJP PR3 125 Enduro Pro ,ישומישוד,2014,125,4,28/10/2019,"12,000₪"
208,ההאמי MT 07 ,שיבכ/טרופס,2019,700,1,28/10/2019,None
209,וו.מ.ב S1000RR ,שיבכ/טרופס,2014,"1,000",1,28/10/2019,None
210,סאג-סאג EC250F ,ישומישוד,2015,250,2,28/10/2019,"26,000₪"
211,יקאסאוואק KLE500 ,ישומישוד,2006,500,4,28/10/2019,"13,000₪"
212,יקאסאוואק ה'גנינ 400 ,שיבכ/טרופס,2018,400,2,28/10/2019,"38,000₪"
213,יקוזוס טידנב 400 ,ישומישוד,2011,400,2,28/10/2019,"7,500₪"
214,מ.ט.ק 250 EXC-F ,ישומישוד,2012,250,5,28/10/2019,None
215,ההאמי MT-10 ,שיבכ/טרופס,2018,"1,000",1,28/10/2019,None
216,אטב RR300 ,ישומישוד,2019,300,1,28/10/2019,"47,000₪"
217,הנרווקסוה רחא ,סורקוטומ,2018,350,1,28/10/2019,"35,000₪"
218,ןאס גנאי יו'ג סקמ טרופס 125 ,שיבכ/טרופס,2016,125,1,28/10/2019,"14,000₪"
219,יקאסאוואק Z400 ,ישומישוד,2019,400,1,28/10/2019,"36,000₪"
220,יקאסאוואק Vulcan S ,םוטסק,2019,650,1,29/10/2019,"51,999₪"
221,הדנוה CBR500R ,שיבכ/טרופס,2019,500,1,29/10/2019,"45,000₪"
222,יקאסאוואק Z1000SX ,שיבכ/טרופס,2019,"1,000",0,29/10/2019,"84,985₪"
223,ינימ קייב יללכ ,סורקוטומ,2019,100,0,29/10/2019,"7,000₪"
224,UM Renegade Sport S 125 ,םוטסק,2019,125,1,29/10/2019,"14,900₪"
225,מ.ט.ק קויד-רפוס 1290GT ,שיבכ/טרופס,2017,"1,250",2,29/10/2019,None
226,הדנוה CBR650F ,שיבכ/טרופס,2015,650,3,29/10/2019,"33,500₪"
227,מ.ט.ק 250 EXC-F ,ישומישוד,2019,250,1,29/10/2019,"59,500₪"
228,ההאמי MT 09 ,שיבכ/טרופס,2019,900,1,29/10/2019,None
229,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2019,650,1,29/10/2019,"41,000₪"
230,הדנוה CRF250M ,ישומישוד,2014,250,1,29/10/2019,"17,500₪"
231,אטב RR 125 ,ישומישוד,2019,125,1,29/10/2019,"40,000₪"
232,מ.ט.ק EXC-F 350 ,ישומישוד,2017,350,2,29/10/2019,"45,000₪"
233,ההאמי MT 09 TRACER ,שיבכ/טרופס,2019,900,0,29/10/2019,"74,985₪"
234,מ.ט.ק EXC 450 גניסייר ,ישומישוד,2018,450,1,29/10/2019,"47,000₪"
235,ההאמי MT-01 ,שיבכ/טרופס,2019,125,1,29/10/2019,"21,000₪"
236,מ.ט.ק קויד 690R ,שיבכ/טרופס,2013,700,5,29/10/2019,None
237,הדנוה CB500F ,שיבכ/טרופס,2015,500,1,29/10/2019,"24,000₪"
238,MV Agusta Brutale 1090 ,שיבכ/טרופס,2016,"1,100",1,29/10/2019,"70,000₪"
239,MV Agusta Sterabale 800 ,שיבכ/טרופס,2016,800,1,29/10/2019,None
240,יקוזוס GSX-R1000 ,שיבכ/טרופס,2009,"1,000",4,28/10/2019,"62,000₪"
241,יקוזוס DRZ400S ,ישומישוד,2016,400,3,28/10/2019,"26,300₪"
242,יקאסאוואק EN500 ,םוטסק,2004,500,3,28/10/2019,"18,750₪"
243,מ.ט.ק 250 EXC-F ,ישומישוד,2016,250,3,28/10/2019,"36,000₪"
244,הדנוה VT750C ודאש ,םוטסק,2009,750,6,28/10/2019,"38,000₪"
245,מ.ט.ק RC390 ,ישומישוד,2018,400,1,28/10/2019,None
246,ההאמי MT 07 ,שיבכ/טרופס,2019,700,1,28/10/2019,None
247,ההאמי רחא ,םוטסק,2012,400,1,28/10/2019,None
248,מ.ט.ק EXC 500 ,ישומישוד,2017,500,1,28/10/2019,None
249,הדנוה CRF250L ,ישומישוד,2016,250,3,28/10/2019,"22,000₪"
250,ההאמי MT 09 ,שיבכ/טרופס,2016,900,2,28/10/2019,"49,000₪"
251,מ.ט.ק קויד 390 ,שיבכ/טרופס,2016,400,3,28/10/2019,"18,000₪"
252,יקוזוס DR650R/RE/SE ,ישומישוד,2017,650,1,28/10/2019,"28,500₪"
253,מ.ט.ק EXC-F 350 ,ישומישוד,2012,350,4,28/10/2019,"19,000₪"
254,מ.ט.ק קויד 690 ,שיבכ/טרופס,2016,700,4,28/10/2019,"30,000₪"
255,יקאסאוואק KLX250R ,ישומישוד,2017,250,2,28/10/2019,"21,000₪"
256,הדנוה XR250L ,ישומישוד,1996,250,3,28/10/2019,None
257,גנאסוי GT125R טמוק ,ישומישוד,2013,125,2,28/10/2019,"8,000₪"
258,ההאמי YZF250 ,סורקוטומ,2015,250,4,28/10/2019,"16,000₪"
259,וו.מ.ב F700GS ,שיבכ/טרופס,2012,800,2,28/10/2019,"33,000₪"
260,ההאמי YZF-R125 ,שיבכ/טרופס,2015,125,2,29/10/2019,"16,000₪"
261,MV Agusta Brutale 1090 ,שיבכ/טרופס,2016,"1,100",1,29/10/2019,"70,000₪"
262,MV Agusta Sterabale 800 ,שיבכ/טרופס,2016,800,1,29/10/2019,None
263,ההאמי V-Max 1700 ,שיבכ/טרופס,2014,"1,800",4,29/10/2019,None
264,הדנוה VT750C ודאש ,םוטסק,2018,750,1,29/10/2019,"69,000₪"
265,ינימ קייב CRZ ,סורקוטומ,2019,70,1,29/10/2019,"9,900₪"
266,מ.ט.ק רפוס ר'צנוודא 1290 ,ישומישוד,2017,"1,200",2,29/10/2019,"88,000₪"
267,יקאסאוואק רחא ,שיבכ/טרופס,2019,900,1,29/10/2019,None
268,יקאסאוואק ה'גנינ 250R ,שיבכ/טרופס,2016,250,3,29/10/2019,"15,000₪"
269,ההאמי MT 07 ,שיבכ/טרופס,2015,700,6,29/10/2019,None
270,הדנוה VFR1200X ,ישומישוד,2015,"1,200",3,29/10/2019,"72,000₪"
271,ההאמי MT 09 ,שיבכ/טרופס,2019,900,1,29/10/2019,None
272,יקאסאוואק ZX-636R/6R ,שיבכ/טרופס,2019,600,0,29/10/2019,"89,985₪"
273,יקאסאוואק ה'גנינ 400 ,שיבכ/טרופס,2019,400,0,29/10/2019,"42,985₪"
274,ההאמי MT-07 TRACER ,ישומישוד,2018,700,1,29/10/2019,"46,000₪"
275,יקוזוס DL1000 םורטס-יו ,ישומישוד,2016,"1,000",2,29/10/2019,"51,000₪"
276,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,29/10/2019,"62,985₪"
277,יקאסאוואק Vulcan S ,םוטסק,2019,650,1,29/10/2019,"51,999₪"
278,הדנוה CBR500R ,שיבכ/טרופס,2019,500,1,29/10/2019,"45,000₪"
279,ינימ קייב יללכ ,סורקוטומ,2019,100,0,29/10/2019,"7,000₪"
280,יקוזוס המוזניא 250 ,שיבכ/טרופס,2016,250,3,28/10/2019,"17,000₪"
281,יקאסאוואק Versys 650 ,ישומישוד,2018,650,2,28/10/2019,"39,500₪"
282,יקאסאוואק Versys 650 ,ישומישוד,2011,650,1,28/10/2019,"24,000₪"
283,הדנוה NC700X ,שיבכ/טרופס,2012,700,5,28/10/2019,"21,000₪"
284,יקוזוס DRZ400S ,ישומישוד,2017,400,1,28/10/2019,"31,277₪"
285,ההאמי WR250R ,ישומישוד,2017,250,2,28/10/2019,"26,800₪"
286,ההאמי YZF-R125 ,שיבכ/טרופס,2017,125,2,28/10/2019,"16,900₪"
287,יקוזוס םורטס-יו 250 ,שיבכ/טרופס,2019,250,1,28/10/2019,"23,000₪"
288,וו.מ.ב S1000R ,שיבכ/טרופס,2017,"1,000",2,28/10/2019,"75,000₪"
289,יאוויק TX125 ,ישומישוד,2018,125,1,28/10/2019,"8,700₪"
