,Title,Type,Year,Engine Size,Hand,Date Added,Price
581,הדנוה CBR500R ,שיבכ/טרופס,2014,500,5,29/10/2019,"19,500₪"
582,הדנוה CBF1000 ,שיבכ/טרופס,2015,"1,000",2,29/10/2019,"49,000₪"
583,וו.מ.ב R80 ,שיבכ/טרופס,1994,800,4,29/10/2019,None
584,יטאקוד לבאיד S X ,םוטסק,2016,"1,250",1,29/10/2019,None
585,ההאמי XTZ660 הרנט ,ישומישוד,2019,700,0,29/10/2019,"69,985₪"
586,מ.ט.ק EXC-F 350 ,ישומישוד,2015,350,3,29/10/2019,"36,000₪"
587,הדנוה CRF250M ,ישומישוד,2013,250,4,29/10/2019,"12,500₪"
588,קיטנאפ Enduro 4T Casa ,ישומישוד,2018,125,1,29/10/2019,"24,000₪"
589,הדנוה CBR500R ,שיבכ/טרופס,2018,500,1,29/10/2019,"37,000₪"
590,ההאמי MT-10 ,ישומישוד,2019,"1,000",0,29/10/2019,"95,985₪"
591,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,2,29/10/2019,"48,500₪"
592,מ.ט.ק קויד 690 ,שיבכ/טרופס,2016,700,1,29/10/2019,"29,500₪"
593,ההאמי YZF-R125 ,שיבכ/טרופס,2017,125,2,29/10/2019,"15,999₪"
594,ילנב LEONCINO500 ,ישומישוד,2019,500,1,29/10/2019,"36,000₪"
595,ההאמי MT-10 ,שיבכ/טרופס,2017,"1,000",3,29/10/2019,"75,000₪"
596,יאוויק TX125 ,ישומישוד,2018,125,1,29/10/2019,"9,500₪"
597,הדנוה CBR500R ,שיבכ/טרופס,2014,500,6,29/10/2019,None
598,יטאקוד לבאיד ,שיבכ/טרופס,2012,"1,200",3,29/10/2019,None
599,יקאסאוואק ה'גנינ 300 ,שיבכ/טרופס,2014,300,3,29/10/2019,None
600,מ.ט.ק קויד 390 ,שיבכ/טרופס,2019,400,1,28/10/2019,"30,000₪"
601,הדנוה פלאסנרט 700 ,ישומישוד,2012,700,3,28/10/2019,"25,000₪"
602,"וו.מ.ב R1200GS ר""צנוודא ",ישומישוד,2014,"1,200",2,28/10/2019,"89,000₪"
603,ההאמי YZ ,סורקוטומ,2016,450,2,28/10/2019,None
604,הדנוה CRF450R ,סורקוטומ,2018,450,2,28/10/2019,None
605,-וריז םיעונפוא םיילמשח FXS ,ישומישוד,2017,50,1,28/10/2019,"33,000₪"
606,מ.ט.ק EXC 250 ,ישומישוד,2002,250,3,28/10/2019,"10,000₪"
607,יטאקוד רלבמרקס ןוקייא ,ישומישוד,2017,400,3,28/10/2019,"35,000₪"
608,יטאקוד רטסנומ 796 ,שיבכ/טרופס,2012,800,6,28/10/2019,"29,000₪"
609,ההאמי MT 07 ,שיבכ/טרופס,2015,700,4,28/10/2019,"27,000₪"
610,הדנוה CBR250R ,שיבכ/טרופס,2013,250,3,28/10/2019,None
611,יקוזוס GSF1200 טידנב ,שיבכ/טרופס,2004,"1,200",4,28/10/2019,"18,000₪"
612,ההאמי MT 09 ,שיבכ/טרופס,2017,900,3,28/10/2019,"53,000₪"
613,יקאסאוואק Versys 650 ,ישומישוד,2009,650,4,28/10/2019,"16,000₪"
614,יקוזוס C800 רדורטניא ,םוטסק,1993,800,6,28/10/2019,"33,500₪"
615,יקוזוס DL650 םורטס-יו ,ישומישוד,2008,650,7,28/10/2019,"10,000₪"
616,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2015,"1,000",2,28/10/2019,"86,000₪"
617,וקמיק ןונאווק 125 ,שיבכ/טרופס,2008,125,4,28/10/2019,"5,500₪"
618,יקאסאוואק KX ,סורקוטומ,2012,250,2,28/10/2019,"14,500₪"
619,הדנוה CRF1000L הקירפא ןיווט ,ישומישוד,2016,"1,000",3,28/10/2019,"63,000₪"
620,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,28/10/2019,"59,985₪"
621,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2019,"1,000",1,28/10/2019,"149,900₪"
622,הנרווקסוה TE300 ,ישומישוד,2019,300,1,28/10/2019,None
623,ההאמי YZF600R טאקרדנא'ת ,שיבכ/טרופס,1997,600,5,28/10/2019,None
624,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2019,650,1,28/10/2019,"44,999₪"
625,הדנוה CBR125R ,שיבכ/טרופס,2018,125,1,28/10/2019,"18,000₪"
626,גנאסוי GD250 ,שיבכ/טרופס,2015,250,4,29/10/2019,"9,900₪"
627,ההאמי WR400/426/450F ,סורקוטומ,2008,450,3,29/10/2019,"17,000₪"
628,יקאסאוואק VN1700 ר'גאיוו ,םוטסק,2019,"1,800",0,29/10/2019,None
629,מ.ט.ק EXC 300 ,ישומישוד,2019,300,1,29/10/2019,"63,000₪"
630,יקוזוס GSX-R1000 ,שיבכ/טרופס,2018,"1,000",3,29/10/2019,"95,000₪"
631,ינימ קייב יללכ ,סורקוטומ,2019,50,0,29/10/2019,"6,500₪"
632,יטאקוד הדרטסיטלומ 1200S ,ישומישוד,2012,"1,200",4,29/10/2019,"66,000₪"
633,ההאמי XT1200Z רפוס הרנט ,ישומישוד,2019,"1,200",1,29/10/2019,"89,000₪"
634,יקוזוס DL650 םורטס-יו ,ישומישוד,2017,650,1,29/10/2019,"45,900₪"
635,יטאקוד רטסנומ 696 ,שיבכ/טרופס,2009,700,3,29/10/2019,"22,000₪"
636,יקאסאוואק Versys 650 ,שיבכ/טרופס,2019,650,1,29/10/2019,"45,000₪"
637,מ.ט.ק קויד 200 ,שיבכ/טרופס,2017,200,1,29/10/2019,"14,600₪"
638,ההאמי YZF-R125 ,שיבכ/טרופס,2017,125,2,29/10/2019,"16,000₪"
639,אטב RR 125 ,שיבכ/טרופס,2019,125,2,29/10/2019,"13,500₪"
640,הדנוה CBR600 F5/FS/I ,שיבכ/טרופס,2006,600,3,28/10/2019,None
641,יקאסאוואק ה'גנינ 250R ,שיבכ/טרופס,2008,250,3,28/10/2019,"12,500₪"
642,מ.ט.ק 400 EGS-E ,ישומישוד,2016,400,2,28/10/2019,"18,500₪"
643,מ.ט.ק EXC 125 ,ישומישוד,2016,125,3,28/10/2019,"26,500₪"
644,הנרווקסוה TE250 ,ישומישוד,2018,250,1,28/10/2019,"44,900₪"
645,מ.ט.ק SX250 F ,סורקוטומ,2017,250,2,28/10/2019,"24,000₪"
646,ההאמי MT 07 ,שיבכ/טרופס,2016,700,1,28/10/2019,"36,500₪"
647,יקאסאוואק Z650 ,שיבכ/טרופס,2018,650,1,28/10/2019,"29,000₪"
648,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2018,650,2,28/10/2019,None
649,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,1,28/10/2019,"59,000₪"
650,ילרה ןוסדיוויד רטסטרופס 883 ,םוטסק,2009,900,3,28/10/2019,"52,000₪"
651,מ.ט.ק EXC 450 גניסייר ,ישומישוד,2012,450,3,28/10/2019,"22,000₪"
652,מ.ט.ק EXC-F 350 ,ישומישוד,2018,350,2,28/10/2019,"55,000₪"
653,מ.ט.ק EXC 300 ,ישומישוד,2001,300,6,28/10/2019,"11,000₪"
654,מ.ט.ק EXC 250 ,ישומישוד,2015,250,2,28/10/2019,"31,000₪"
655,אטב EVO125 ,ישומישוד,2018,125,1,28/10/2019,"22,000₪"
656,מ.ט.ק EXC 250 ,ישומישוד,2016,250,2,28/10/2019,None
657,ילנב TRK502 ,ישומישוד,2018,500,1,28/10/2019,"33,000₪"
658,יקאסאוואק KX ,סורקוטומ,2017,450,1,28/10/2019,"23,000₪"
659,ההאמי X-MAX 250 MOMO ,ישומישוד,2016,250,2,28/10/2019,"17,900₪"
660,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2015,"1,000",4,28/10/2019,None
661,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,2,28/10/2019,"49,900₪"
662,ההאמי YZF-R6 ,שיבכ/טרופס,2019,600,2,28/10/2019,None
663,ההאמי MT 09 ,שיבכ/טרופס,2015,900,5,28/10/2019,"38,000₪"
664,מ.ט.ק EXC 250 ,ישומישוד,2017,250,2,28/10/2019,"43,000₪"
665,הדנוה CBR250R ,שיבכ/טרופס,2013,250,1,28/10/2019,"9,900₪"
666,יקאסאוואק Versys-X 300 ,שיבכ/טרופס,2019,300,0,28/10/2019,"30,985₪"
667,הנרווקסוה 701 ורודנא ,ישומישוד,2018,700,2,28/10/2019,"46,500₪"
668,ההאמי WR400/426/450F ,סורקוטומ,2018,450,3,28/10/2019,"41,999₪"
669,מ.ט.ק 250 EXC-F ,ישומישוד,2018,250,1,28/10/2019,"51,400₪"
670,יקאסאוואק רחא ,שיבכ/טרופס,2019,"1,000",1,28/10/2019,"224,999₪"
671,הדנוה CRF250 RALLY ,ישומישוד,2018,250,4,28/10/2019,"25,900₪"
672,יקוזוס םורטס-יו 250 ,ישומישוד,2019,250,2,28/10/2019,"24,000₪"
673,וו.מ.ב S1000RR ,שיבכ/טרופס,2016,"1,000",1,28/10/2019,"104,000₪"
674,ההאמי MT-10 ,שיבכ/טרופס,2017,"1,000",3,28/10/2019,None
675,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,28/10/2019,"59,985₪"
676,הדנוה CBR300 ,שיבכ/טרופס,2019,300,1,28/10/2019,"28,000₪"
677,ילנב TNT300 ,שיבכ/טרופס,2016,300,3,28/10/2019,"16,000₪"
678,יקוזוס GSX-S1000 ,שיבכ/טרופס,2019,"1,000",1,28/10/2019,"87,999₪"
679,קיטנאפ ורלבק ,שיבכ/טרופס,2019,450,1,28/10/2019,"39,900₪"
680,יאוויק ראטסקלב 250 ,םוטסק,2016,250,3,28/10/2019,"13,000₪"
681,הדנוה CRF250L ,ישומישוד,2017,250,3,28/10/2019,"22,000₪"
682,הדנוה CBR1000RR ,שיבכ/טרופס,2017,"1,000",1,28/10/2019,None
683,מ.ט.ק קויד 200 ,שיבכ/טרופס,2014,200,5,28/10/2019,"13,000₪"
684,ההאמי MT 09 ,שיבכ/טרופס,2015,900,3,28/10/2019,"36,500₪"
685,יקאסאוואק Z800R ,שיבכ/טרופס,2015,800,3,28/10/2019,"36,000₪"
686,ההאמי YZF-R6 ,שיבכ/טרופס,2017,600,3,28/10/2019,"75,000₪"
687,יקאסאוואק Z750R ,שיבכ/טרופס,2012,750,2,28/10/2019,"31,900₪"
688,םילאיד Roadwin 250 ,שיבכ/טרופס,2015,250,1,28/10/2019,"8,500₪"
689,יקאסאוואק Z800R ,שיבכ/טרופס,2015,800,3,28/10/2019,"39,000₪"
690,HM CRE F250X ,סורקוטומ,2011,250,3,28/10/2019,"18,000₪"
691,יקאסאוואק Z650 abs ,שיבכ/טרופס,2018,650,2,28/10/2019,"33,990₪"
692,וו.מ.ב F-750GS ,ישומישוד,2019,850,1,28/10/2019,"75,000₪"
693,יקוזוס GS500E ,שיבכ/טרופס,1994,500,1,28/10/2019,"14,000₪"
694,יקאסאוואק Versys 650 ,שיבכ/טרופס,2017,650,2,28/10/2019,"38,000₪"
695,מ.ט.ק EXC 200 ,שיבכ/טרופס,2013,200,2,28/10/2019,"24,000₪"
696,וו.מ.ב G650GS ,שיבכ/טרופס,2013,650,2,28/10/2019,"20,000₪"
697,יקאסאוואק KLX250R ,ישומישוד,2017,250,1,28/10/2019,"22,000₪"
698,יקוזוס DRZ400S ,ישומישוד,2005,400,4,28/10/2019,"17,000₪"
699,ההאמי WR250F ,ישומישוד,2018,250,2,28/10/2019,"42,500₪"
700,ההאמי YZF-R125 ,שיבכ/טרופס,2016,125,1,28/10/2019,"16,500₪"
701,הדנוה CBR650F ,שיבכ/טרופס,2018,650,1,28/10/2019,"48,000₪"
702,מ.ט.ק EXC 250 ,ישומישוד,2016,250,1,28/10/2019,"34,200₪"
703,יקאסאוואק VN900 קיסאלק ,םוטסק,2009,900,1,28/10/2019,"30,000₪"
704,MV Agusta Turismo Veloce 800 ,שיבכ/טרופס,2016,800,1,28/10/2019,None
705,ההאמי YZF-R1 ,שיבכ/טרופס,2016,"1,000",1,28/10/2019,"127,000₪"
706,ההאמי YZF-R1 ,שיבכ/טרופס,2019,"1,000",2,28/10/2019,None
707,ההאמי YZ ,סורקוטומ,2019,70,1,28/10/2019,"20,000₪"
708,ההאמי MT 07 ,שיבכ/טרופס,2019,700,1,28/10/2019,"51,985₪"
709,יקאסאוואק רחא ,שיבכ/טרופס,2019,"1,200",1,28/10/2019,"139,900₪"
710,הדנוה CRF1000L הקירפא ןיווט ,ישומישוד,2018,"1,000",1,28/10/2019,"74,999₪"
711,הדנוה CRF1000L הקירפא ןיווט ,ישומישוד,2017,"1,000",1,28/10/2019,"70,000₪"
712,מ.ט.ק קויד 390 ,שיבכ/טרופס,2018,400,4,28/10/2019,"22,000₪"
713,יקאסאוואק KX ,ישומישוד,2016,250,3,28/10/2019,None
714,הדנוה CB500F ,שיבכ/טרופס,2015,500,1,28/10/2019,"24,000₪"
715,יקאסאוואק Z650 ,שיבכ/טרופס,2018,650,1,28/10/2019,"41,999₪"
716,ההאמי MT 07 ,שיבכ/טרופס,2019,700,0,28/10/2019,"56,985₪"
717,יקאסאוואק Z1000SX ,שיבכ/טרופס,2019,"1,000",0,28/10/2019,"84,985₪"
718,ההאמי YZ ,סורקוטומ,2018,250,1,28/10/2019,"26,000₪"
719,הדנוה CBR500R ,שיבכ/טרופס,2019,500,1,28/10/2019,"45,000₪"
720,ההאמי FZ6S רזייפ ,שיבכ/טרופס,2007,600,3,28/10/2019,"25,000₪"
721,HM CRE F125 BajaRR ,ישומישוד,2012,125,4,28/10/2019,"12,500₪"
722,מ.ט.ק רפוס ר'צנוודא 1290 ,ישומישוד,2016,"1,300",2,28/10/2019,"98,000₪"
723,יקוזוס SV650N ,שיבכ/טרופס,2018,650,3,28/10/2019,"34,900₪"
724,וקרש SE-F300 4T Factory ,סורקוטומ,2015,300,4,28/10/2019,"32,000₪"
725,יקוזוס DRZ400S ,ישומישוד,2009,400,9,28/10/2019,"19,000₪"
726,הילירפא רביש 750 GT ,שיבכ/טרופס,2016,750,1,28/10/2019,"29,000₪"
727,הדנוה CRF ,ישומישוד,2012,450,3,28/10/2019,"14,000₪"
728,מ.ט.ק EXC 250 ,ישומישוד,2017,250,2,28/10/2019,"46,000₪"
729,מ.ט.ק ר'צנוודא 1290S ,ישומישוד,2019,"1,300",1,28/10/2019,None
730,ילנב TNT125 ,שיבכ/טרופס,2018,125,2,28/10/2019,"9,000₪"
731,יטאקוד רלבמרקס ןוקייא ,םוטסק,2017,800,3,28/10/2019,"47,000₪"
732,ההאמי WR250F ,ישומישוד,2016,250,2,28/10/2019,None
733,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,1,28/10/2019,"58,000₪"
734,הדנוה CB500F ,שיבכ/טרופס,2018,500,2,28/10/2019,"35,000₪"
735,ההאמי MT 07 ,שיבכ/טרופס,2017,700,2,28/10/2019,"42,000₪"
736,הדנוה CBR500R ,שיבכ/טרופס,2018,500,1,28/10/2019,"40,000₪"
737,הנרווקסוה TE250 ,סורקוטומ,2019,250,1,28/10/2019,"49,000₪"
738,ההאמי MT-10 ,שיבכ/טרופס,2018,"1,000",2,28/10/2019,None
739,יקאסאוואק KLE500 ,ישומישוד,1999,500,5,28/10/2019,"11,000₪"
740,מ.ט.ק EXC 450 גניסייר ,ישומישוד,2018,450,1,28/10/2019,"47,000₪"
741,מ.ט.ק רפוס ר'צנוודא 1290 ,ישומישוד,2017,"1,200",2,28/10/2019,"88,000₪"
742,ההאמי MT 09 ,שיבכ/טרופס,2019,900,1,28/10/2019,None
743,מ.ט.ק קויד 690 ,שיבכ/טרופס,2019,650,1,28/10/2019,"56,500₪"
744,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,3,28/10/2019,None
745,גנאסוי GV250 הליקא ,םוטסק,2013,250,2,28/10/2019,"8,500₪"
746,יקאסאוואק ה'גנינ 400 ,שיבכ/טרופס,2019,400,0,28/10/2019,"42,985₪"
747,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2017,"1,000",3,28/10/2019,None
748,יקוזוס GSX-R1000 ,שיבכ/טרופס,2018,"1,000",2,28/10/2019,"98,000₪"
749,דנלבילק tha heist 250 ,םוטסק,2012,250,3,28/10/2019,"15,000₪"
750,יקאסאוואק רחא ,שיבכ/טרופס,2019,900,1,28/10/2019,None
751,יקאסאוואק W800 ,םוטסק,2016,800,2,28/10/2019,"26,999₪"
752,יקאסאוואק Versys-X 300 ,ישומישוד,2019,300,0,28/10/2019,"30,985₪"
753,יקאסאוואק ה'גנינ 250R ,שיבכ/טרופס,2016,250,3,28/10/2019,"15,000₪"
754,יקוזוס DRZ400S ,ישומישוד,2016,400,1,28/10/2019,"26,000₪"
755,יקוזוס DL1000 םורטס-יו ,ישומישוד,2016,"1,000",2,28/10/2019,"51,000₪"
756,מ.ט.ק קויד-רפוס 1290GT ,שיבכ/טרופס,2017,"1,250",2,28/10/2019,None
757,ההאמי BT1100 גודלוב ,שיבכ/טרופס,2002,"1,100",2,28/10/2019,"30,000₪"
758,ההאמי MT 09 TRACER ,שיבכ/טרופס,2018,900,1,28/10/2019,"59,900₪"
759,MV Agusta Sterabale 800 ,שיבכ/טרופס,2016,800,1,28/10/2019,None
760,יקוזוס RV125 ןאו-ןאו ,ישומישוד,2011,125,5,28/10/2019,"11,000₪"
761,הדנוה CBR250R ,שיבכ/טרופס,2013,250,2,28/10/2019,"10,500₪"
762,דנלבילק tha heist 125 ,םוטסק,2013,125,3,28/10/2019,"11,000₪"
763,הדנוה CB650F ,שיבכ/טרופס,2018,650,1,28/10/2019,"48,000₪"
764,מ.ט.ק EXC 500 ,ישומישוד,2017,500,3,28/10/2019,"47,000₪"
765,מ.ט.ק RC390 ,שיבכ/טרופס,2017,400,1,28/10/2019,"20,000₪"
766,ההאמי WR250R ,ישומישוד,2017,250,2,28/10/2019,"26,500₪"
767,הדנוה CRF ,סורקוטומ,2014,450,2,28/10/2019,"20,000₪"
768,ילרה ןוסדיוויד לייטפוס יוב-טאפ 1340 ,םוטסק,1997,"1,350",2,28/10/2019,"112,000₪"
769,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2018,650,1,28/10/2019,"40,000₪"
770,הדנוה CBR600 F5/FS/I ,שיבכ/טרופס,2006,600,4,28/10/2019,"19,500₪"
771,גנאסוי GT650R טמוק ,שיבכ/טרופס,2017,650,2,28/10/2019,"25,000₪"
772,ןאס גנאי ףלוו SB250Ni ,שיבכ/טרופס,2013,250,3,28/10/2019,"7,000₪"
773,הנרווקסוה TE300 ,ישומישוד,2017,300,2,28/10/2019,"40,000₪"
774,ילרה ןוסדיוויד רטסטרופס 883 ,שיבכ/טרופס,2015,880,1,28/10/2019,"58,000₪"
775,יקאסאוואק ER-6F ,שיבכ/טרופס,2015,650,2,28/10/2019,"19,900₪"
776,"וו.מ.ב R1200GS ר""צנוודא ",ישומישוד,2007,"1,200",4,28/10/2019,"38,000₪"
777,יקוזוס המוזניא 250 ,שיבכ/טרופס,2014,250,4,28/10/2019,"9,999₪"
778,ההאמי MT 09 ,שיבכ/טרופס,2015,850,2,28/10/2019,"38,000₪"
779,הדנוה CBR500R ,שיבכ/טרופס,2017,500,2,28/10/2019,"31,000₪"
780,מ.ט.ק Free-Ride 250R ,ישומישוד,2016,250,3,28/10/2019,"33,000₪"
781,יטאקוד רטסנומ 797 ,שיבכ/טרופס,2018,800,1,28/10/2019,"47,000₪"
782,הנרווקסוה TE250 ,ישומישוד,2010,250,4,28/10/2019,"12,000₪"
783,ילרה ןוסדיוויד רטסטרופס 883 ,םוטסק,2016,900,1,28/10/2019,None
784,ילרה ןוסדיוויד רחא ,םוטסק,2018,"1,200",1,28/10/2019,"106,850₪"
785,הדנוה NC750X ,ישומישוד,2014,750,3,28/10/2019,"28,000₪"
786,יקאסאוואק רחא ,שיבכ/טרופס,2019,"1,000",2,28/10/2019,"118,000₪"
787,יקוזוס DL1000 םורטס-יו ,ישומישוד,2005,"1,000",10+,28/10/2019,"11,999₪"
788,ילרה ןוסדיוויד רחא ,םוטסק,2015,"1,800",1,28/10/2019,"155,000₪"
789,ילרה ןוסדיוויד רחא ,םוטסק,2008,"1,800",2,28/10/2019,"125,000₪"
790,ילרה ןוסדיוויד רטסטרופס 883 ,םוטסק,2017,900,1,28/10/2019,None
791,מ.ט.ק EXC 300 ,ישומישוד,2017,300,1,28/10/2019,"49,800₪"
792,הדנוה CRF1000L הקירפא ןיווט ,ישומישוד,2017,"1,000",2,28/10/2019,"72,000₪"
793,ילרה ןוסדיוויד רטסטרופס 1200C ,םוטסק,2015,"1,200",2,28/10/2019,"85,000₪"
794,ילרה ןוסדיוויד הנייד טירטס בוב 1585 ,םוטסק,2016,"1,500",1,28/10/2019,"135,000₪"
795,ילרה ןוסדיוויד רחא ,םוטסק,2016,"1,800",1,28/10/2019,"295,000₪"
796,ילרה ןוסדיוויד רחא ,םוטסק,2016,"1,800",1,28/10/2019,"220,000₪"
797,הדנוה VT1300CX ירויפ ,םוטסק,2019,"1,300",1,28/10/2019,None
798,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2016,"1,000",1,28/10/2019,None
799,יאוויק טיילרפוס 125 ,םוטסק,2017,125,1,28/10/2019,"8,500₪"
800,הדנוה CBR500R ,שיבכ/טרופס,2017,500,2,28/10/2019,"31,000₪"
801,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2017,650,2,28/10/2019,"30,000₪"
802,ההאמי MT 07 ,שיבכ/טרופס,2019,700,1,28/10/2019,"48,000₪"
803,הדנוה CBR300R ,שיבכ/טרופס,2015,300,3,28/10/2019,"17,000₪"
804,ההאמי YZ ,סורקוטומ,2019,125,1,28/10/2019,None
805,מ.ט.ק 250 EXC-F ,ישומישוד,2008,250,5,28/10/2019,"15,000₪"
806,וקרש SE-F 300 4T Racing ,ישומישוד,2016,300,1,28/10/2019,"33,000₪"
807,מ.ט.ק SX 350 ,סורקוטומ,2018,350,1,28/10/2019,"31,000₪"
808,יקוזוס דניווירפ XF650 ,ישומישוד,1997,650,5,28/10/2019,"12,000₪"
809,וו.מ.ב F650GS ,ישומישוד,2011,650,1,28/10/2019,"16,500₪"
810,ההאמי רחא ,שיבכ/טרופס,1984,750,2,28/10/2019,None
811,ההאמי MT 09 ,שיבכ/טרופס,2016,900,2,28/10/2019,"36,000₪"
812,יקאסאוואק Z650 ,שיבכ/טרופס,2017,650,2,28/10/2019,"26,000₪"
813,מ.ט.ק ורודנא 690R ,ישומישוד,2014,700,2,28/10/2019,"33,000₪"
814,ההאמי MT 07 ,שיבכ/טרופס,2019,700,1,28/10/2019,"52,000₪"
815,הילירפא RSV4R ,שיבכ/טרופס,2013,"1,100",5,28/10/2019,"61,000₪"
816,ילנב TNT250 ,ישומישוד,2017,250,3,28/10/2019,"10,900₪"
817,מ.ט.ק EXC 125 ,ישומישוד,2016,125,3,28/10/2019,"26,500₪"
818,הילירפא רביש 750 GT ,שיבכ/טרופס,2016,750,1,28/10/2019,"28,000₪"
819,יקאסאוואק KX ,סורקוטומ,2017,450,1,28/10/2019,"23,000₪"
820,הדנוה CRF1000L הקירפא ןיווט ,ישומישוד,2017,"1,000",2,28/10/2019,"72,000₪"
821,ילרה ןוסדיוויד רטסטרופס 1200C ,םוטסק,2015,"1,200",2,28/10/2019,"85,000₪"
822,ילרה ןוסדיוויד הנייד טירטס בוב 1585 ,םוטסק,2016,"1,500",1,28/10/2019,"135,000₪"
823,ילרה ןוסדיוויד רחא ,םוטסק,2016,"1,800",1,28/10/2019,"295,000₪"
824,ילרה ןוסדיוויד רחא ,םוטסק,2016,"1,800",1,28/10/2019,"220,000₪"
825,הדנוה VT1300CX ירויפ ,םוטסק,2019,"1,300",1,28/10/2019,None
826,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2016,"1,000",1,28/10/2019,None
827,יאוויק טיילרפוס 125 ,םוטסק,2017,125,1,28/10/2019,"8,500₪"
828,מ.ט.ק קויד 790 ,שיבכ/טרופס,2018,800,1,28/10/2019,"53,999₪"
829,ההאמי MT 09 ,שיבכ/טרופס,2017,900,4,28/10/2019,"45,000₪"
830,ילרה ןוסדיוויד רחא ,םוטסק,2015,"1,800",1,28/10/2019,"150,000₪"
831,ילרה ןוסדיוויד לייטפוס סקולד 1585 ,םוטסק,2016,"1,800",1,28/10/2019,"165,000₪"
832,ילרה ןוסדיוויד רטסטרופס 883 ,םוטסק,2017,900,1,28/10/2019,None
833,ילרה ןוסדיוויד לייטפוס סויד 1340 ,םוטסק,2013,800,1,28/10/2019,None
834,יקוזוס DL650 םורטס-יו ,ישומישוד,2011,650,3,28/10/2019,"27,500₪"
835,יקאסאוואק KX65 ,סורקוטומ,2018,70,1,28/10/2019,"12,500₪"
836,מ.ט.ק EXC 250 ,ישומישוד,2017,250,2,28/10/2019,"43,000₪"
837,גנאסוי GV250 הליקא ,םוטסק,2014,250,3,28/10/2019,"13,200₪"
838,ילרה ןוסדיוויד רטסטרופס 1200C ,םוטסק,2016,"1,200",1,28/10/2019,"98,000₪"
839,ילרה ןוסדיוויד רטסטרופס 1200C ,םוטסק,2011,"1,200",2,28/10/2019,"72,000₪"
840,יקוזוס TU250 ,םוטסק,1997,250,2,28/10/2019,"13,900₪"
841,ההאמי MT 07 ,ישומישוד,2014,700,3,28/10/2019,None
842,הדנוה CBR125W ,שיבכ/טרופס,2011,125,4,28/10/2019,"3,500₪"
843,יקאסאוואק ZX-12R ,שיבכ/טרופס,2000,"1,200",5,28/10/2019,"35,000₪"
844,ההאמי MT-01 ,שיבכ/טרופס,2017,125,4,28/10/2019,"16,000₪"
845,מ.ט.ק ורודנא 690R ,ישומישוד,2013,700,3,28/10/2019,"28,000₪"
846,הדנוה CBR500R ,שיבכ/טרופס,2017,500,1,28/10/2019,"31,000₪"
847,וו.מ.ב F650GS ,ישומישוד,2002,650,7,28/10/2019,None
848,ההאמי YZF-R125 ,שיבכ/טרופס,2018,125,1,28/10/2019,"20,000₪"
849,ההאמי YZF-R3 ,שיבכ/טרופס,2019,300,1,28/10/2019,"32,000₪"
850,ו'גיפ GMAX 250 ,שיבכ/טרופס,2015,250,3,28/10/2019,"7,800₪"
851,יקוזוס SV650S ,שיבכ/טרופס,2008,650,4,27/10/2019,"12,000₪"
852,הדנוה CBR500R ,שיבכ/טרופס,2018,500,1,27/10/2019,"38,000₪"
853,ההאמי YZ ,סורקוטומ,2017,450,2,27/10/2019,"26,000₪"
854,הנרווקסוה TE125 ,ישומישוד,2015,125,5,27/10/2019,"28,000₪"
855,מ.ט.ק קויד-רפוס 1290R ,שיבכ/טרופס,2016,"1,300",3,27/10/2019,"80,000₪"
856,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2018,650,2,27/10/2019,"37,000₪"
857,יקאסאוואק KLE500 ,ישומישוד,1999,500,6,27/10/2019,"9,000₪"
858,ההאמי וגאריו 500 ,םוטסק,1999,500,7,27/10/2019,None
859,יקאסאוואק KX ,סורקוטומ,2019,450,1,27/10/2019,"33,000₪"
860,ילרה ןוסדיוויד רחא ,םוטסק,2015,"1,800",1,28/10/2019,"155,000₪"
861,ילרה ןוסדיוויד רחא ,םוטסק,2015,"1,800",1,28/10/2019,"210,000₪"
862,ילרה ןוסדיוויד רחא ,םוטסק,2017,700,1,28/10/2019,None
863,הדנוה MSX125 ,שיבכ/טרופס,2018,125,1,28/10/2019,"14,500₪"
864,יאוויק RKS 125 ,שיבכ/טרופס,2019,125,0,28/10/2019,"9,900₪"
865,ילרה ןוסדיוויד רטסטרופס 1200C ,םוטסק,2015,"1,200",1,28/10/2019,"85,000₪"
866,ילרה ןוסדיוויד רטסטרופס 883 ,םוטסק,2015,880,2,28/10/2019,"67,000₪"
867,ילרה ןוסדיוויד רחא ,םוטסק,2015,"1,800",1,28/10/2019,"185,000₪"
